58.0894 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
562.7870 	DATA 	Keypress: num_add
563.7870 	DATA 	Keypress: num_add
564.7867 	DATA 	Keypress: num_add
564.8854 	EXP 	Sound  started
565.7866 	DATA 	Keypress: num_add
566.7869 	DATA 	Keypress: num_add
567.7867 	DATA 	Keypress: num_add
568.7866 	DATA 	Keypress: num_add
569.7863 	DATA 	Keypress: num_add
570.7868 	DATA 	Keypress: num_add
571.7866 	DATA 	Keypress: num_add
572.7863 	DATA 	Keypress: num_add
573.7868 	DATA 	Keypress: num_add
574.7864 	DATA 	Keypress: num_add
575.7861 	DATA 	Keypress: num_add
576.7862 	DATA 	Keypress: num_add
577.7862 	DATA 	Keypress: num_add
578.7863 	DATA 	Keypress: num_add
578.8939 	EXP 	window1: blendMode = 'avg'
579.7861 	DATA 	Keypress: num_add
598.1004 	DATA 	Keypress: space
598.1010 	EXP 	window1: mouseVisible = True
